Ad ID,Category,Price,Currency,Price per m2,Floor Number,Room Count,Area,Location,Excerpt,Last Updated,State of Repair,Link
5150833,Köhnə tikili,195 000,AZN,2 790 AZN/m²,3 / 5,3,70 m²,Nizami m.,var,"13.06.2025, 21:53",var,https://bina.az/items/5150833
5265352,Yeni tikili,171 000,AZN,2 010 AZN/m²,10 / 11,2,85 m²,Xalqlar Dostluğu m.,var,"13.06.2025, 18:00",var,https://bina.az/items/5265352
5155443,Yeni tikili,295 000,AZN,2 360 AZN/m²,8 / 16,3,125 m²,Elmlər Akademiyası m.,var,"13.06.2025, 14:25",var,https://bina.az/items/5155443
5265921,Yeni tikili,287 000,AZN,2 990 AZN/m²,3 / 12,3,96 m²,Qara Qarayev m.,var,"13.06.2025, 12:53",var,https://bina.az/items/5265921
5278249,Yeni tikili,240 000,AZN,2 070 AZN/m²,17 / 17,2,116.2 m²,Bayıl q.,var,"14.06.2025, 01:32",var,https://bina.az/items/5278249
5125389,Yeni tikili,394 000,AZN,3 200 AZN/m²,2 / 5,3,123 m²,Nəsimi r.,var,"14.06.2025, 01:02",var,https://bina.az/items/5125389
5278247,Yeni tikili,335 000,AZN,2 030 AZN/m²,17 / 17,4,165 m²,Neftçilər m.,var,"14.06.2025, 01:00",var,https://bina.az/items/5278247
5278246,Köhnə tikili,132 000,AZN,2 200 AZN/m²,1 / 5,2,60 m²,Əmircan q.,var,"14.06.2025, 01:00",var,https://bina.az/items/5278246
5059497,Köhnə tikili,250 000,AZN,3 850 AZN/m²,2 / 3,2,65 m²,28 May m.,var,"14.06.2025, 00:56",var,https://bina.az/items/5059497
5278241,Köhnə tikili,66 000,AZN,2 200 AZN/m²,1 / 4,1,30 m²,Suraxanı q.,var,"14.06.2025, 00:53",var,https://bina.az/items/5278241
5204051,Köhnə tikili,213 000,AZN,1 940 AZN/m²,6 / 9,4,110 m²,İnşaatçılar m.,var,"14.06.2025, 00:52",var,https://bina.az/items/5204051
5273208,Yeni tikili,316 000,AZN,2 850 AZN/m²,3 / 12,3,111 m²,Badamdar q.,var,"14.06.2025, 00:48",var,https://bina.az/items/5273208
5231474,Yeni tikili,224 500,AZN,2 520 AZN/m²,4 / 13,3,89 m²,Həzi Aslanov m.,var,"14.06.2025, 00:47",var,https://bina.az/items/5231474
5213542,Yeni tikili,155 000,AZN,2 150 AZN/m²,8 / 14,3,72 m²,Memar Əcəmi m.,yoxdur,"14.06.2025, 00:47",var,https://bina.az/items/5213542
5278236,Yeni tikili,100 000,AZN,2 380 AZN/m²,10 / 12,1,42 m²,Massiv D q.,var,"14.06.2025, 00:45",var,https://bina.az/items/5278236
5247118,Yeni tikili,340 000,AZN,2 980 AZN/m²,3 / 16,3,114 m²,Nəsimi r.,var,"14.06.2025, 00:41",yoxdur,https://bina.az/items/5247118
5167078,Yeni tikili,795 000,AZN,3 790 AZN/m²,8 / 17,5,210 m²,28 May m.,var,"14.06.2025, 00:37",var,https://bina.az/items/5167078
5278232,Yeni tikili,76 500,AZN,1 370 AZN/m²,2 / 7,2,56 m²,Masazır q.,var,"14.06.2025, 00:37",var,https://bina.az/items/5278232
4632355,Köhnə tikili,190 000,AZN,2 710 AZN/m²,4 / 5,3,70 m²,Nəriman Nərimanov m.,var,"14.06.2025, 00:28",var,https://bina.az/items/4632355
5252043,Yeni tikili,330 000,AZN,3 200 AZN/m²,17 / 27,2,103 m²,8 Noyabr m.,var,"14.06.2025, 00:25",var,https://bina.az/items/5252043
5248845,Yeni tikili,255 000,AZN,2 320 AZN/m²,7 / 20,3,110 m²,Həzi Aslanov q.,var,"14.06.2025, 00:25",var,https://bina.az/items/5248845
4844105,Yeni tikili,1 500 000,AZN,3 400 AZN/m²,12 / 15,7,441 m²,Bayıl q.,yoxdur,"14.06.2025, 00:24",yoxdur,https://bina.az/items/4844105
5256531,Köhnə tikili,192 000,AZN,2 400 AZN/m²,6 / 9,3,80 m²,Həzi Aslanov m.,var,"14.06.2025, 00:24",var,https://bina.az/items/5256531
5162860,Yeni tikili,199 000,AZN,3 690 AZN/m²,10 / 11,2,54 m²,28 May m.,yoxdur,"14.06.2025, 00:23",var,https://bina.az/items/5162860
5278218,Yeni tikili,503 000,AZN,2 920 AZN/m²,17 / 20,4,172 m²,Şah İsmayıl Xətai m.,var,"14.06.2025, 00:22",yoxdur,https://bina.az/items/5278218
5175079,Yeni tikili,350 000,AZN,2 780 AZN/m²,19 / 20,3,126 m²,Nizami m.,var,"14.06.2025, 00:21",var,https://bina.az/items/5175079
4939913,Yeni tikili,335 000,AZN,3 050 AZN/m²,5 / 8,3,110 m²,Nəriman Nərimanov m.,var,"14.06.2025, 00:20",var,https://bina.az/items/4939913
5142663,Yeni tikili,212 000,AZN,3 260 AZN/m²,14 / 16,2,65 m²,Nəriman Nərimanov m.,var,"14.06.2025, 00:20",var,https://bina.az/items/5142663
5102059,Yeni tikili,270 000,AZN,2 370 AZN/m²,5 / 16,3,114 m²,Həzi Aslanov m.,var,"13.06.2025, 21:12",var,https://bina.az/items/5102059
5104295,Yeni tikili,278 630,AZN,3 910 AZN/m²,5 / 11,1,71.3 m²,Nardaran q.,yoxdur,"13.06.2025, 10:28",var,https://bina.az/items/5104295
4973402,Yeni tikili,230 000,AZN,1 770 AZN/m²,2 / 17,3,130 m²,Xalqlar Dostluğu m.,var,"13.06.2025, 19:26",var,https://bina.az/items/4973402
4951848,Köhnə tikili,229 000,AZN,2 380 AZN/m²,3 / 4,4,96.2 m²,Nəriman Nərimanov m.,var,"13.06.2025, 10:49",var,https://bina.az/items/4951848
5242464,Yeni tikili,255 000,AZN,3 000 AZN/m²,7 / 16,3,85 m²,28 May m.,var,"14.06.2025, 00:20",var,https://bina.az/items/5242464
5193982,Yeni tikili,375 000,AZN,2 950 AZN/m²,15 / 20,3,127 m²,Gənclik m.,var,"14.06.2025, 00:20",var,https://bina.az/items/5193982
5275556,Yeni tikili,270 000,AZN,2 370 AZN/m²,5 / 16,3,114 m²,Həzi Aslanov m.,var,"14.06.2025, 00:20",var,https://bina.az/items/5275556
5034882,Yeni tikili,192 000,AZN,3 150 AZN/m²,5 / 17,2,61 m²,28 May m.,var,"14.06.2025, 00:20",var,https://bina.az/items/5034882
5165766,Yeni tikili,350 000,AZN,2 500 AZN/m²,16 / 19,3,140 m²,Nizami m.,var,"14.06.2025, 00:20",var,https://bina.az/items/5165766
5278221,Yeni tikili,121 000,AZN,2 240 AZN/m²,4 / 5,2,54 m²,Badamdar q.,var,"14.06.2025, 00:19",var,https://bina.az/items/5278221
5278220,Yeni tikili,147 000,AZN,3 130 AZN/m²,3 / 19,2,47 m²,20 Yanvar m.,var,"14.06.2025, 00:18",var,https://bina.az/items/5278220
5241793,Yeni tikili,209 000,AZN,2 990 AZN/m²,14 / 18,2,70 m²,8 Noyabr m.,var,"14.06.2025, 00:17",var,https://bina.az/items/5241793
5278219,Köhnə tikili,125 001,AZN,2 080 AZN/m²,4 / 5,3,60 m²,Biləcəri q.,var,"14.06.2025, 00:17",var,https://bina.az/items/5278219
5278217,Yeni tikili,148 000,AZN,2 900 AZN/m²,3 / 15,2,51 m²,Həzi Aslanov m.,var,"14.06.2025, 00:16",var,https://bina.az/items/5278217
4891167,Yeni tikili,210 000,AZN,2 230 AZN/m²,16 / 17,2,94.3 m²,Memar Əcəmi m.,var,"14.06.2025, 00:15",var,https://bina.az/items/4891167
